,year,quarter,question_number,answer_number,question,answer,speaker_name,role,role_normalised,source_pdf
19,2025,Q1,5.0,2,"Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call? Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call?","I would say that's a short-term number, and based on what's happening today, there's a wide range of potential outcomes.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
20,2025,Q1,5.0,3,"Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call? Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call?","But, mechanically, John, though, as you alluded to, there are some mechanical elements to the way Card charge-off works that means that it's pretty baked pretty far ahead of time.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
21,2025,Q1,5.0,4,"Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call? Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call?",The next couple of quarters. Yeah.,Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
22,2025,Q1,5.0,5,"Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call? Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call?","So, sort of echoing Jamie's point, it just doesn't necessarily tell you that much about what might actually happen through the end of the year. Even if unemployment were to increase significantly, it probably wouldn't flow through the charge-offs until later.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
28,2025,Q1,6.0,1,"Okay. Got it. And then just on capital, how does this type of macro uncertainty impact your thinking around conserving capital as opposed to deploying it through your investment agenda and buybacks as the stock gets cheaper? Or just, are you still looking to arrest the increase or does this kind of change it? Okay. Got it. And then just on capital, how does this type of macro uncertainty impact your thinking around conserving capital as opposed to deploying it through your investment agenda and buybacks as the stock gets cheaper? Or just, are you still looking to arrest the increase or does this kind of change it?","The investment that we do in banks, branches, technology, AI is going to continue regardless of the environment. And then we have – depending what happens to Basel III and CCAR and G-SIFI and all that, $30 billion to $60 billion of excess capital. And in the Chairman's letter, I wrote about what we think of that. But based upon the environment, the turbulence issues, I like having excess capital. We are prepared for any environment. And that's so we can serve clients. That's not for any other reason. So, we have plenty of capital and plenty of liquidity to get through whatever the stormy seas are.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
29,2025,Q1,6.0,2,"Okay. Got it. And then just on capital, how does this type of macro uncertainty impact your thinking around conserving capital as opposed to deploying it through your investment agenda and buybacks as the stock gets cheaper? Or just, are you still looking to arrest the increase or does this kind of change it? Okay. Got it. And then just on capital, how does this type of macro uncertainty impact your thinking around conserving capital as opposed to deploying it through your investment agenda and buybacks as the stock gets cheaper? Or just, are you still looking to arrest the increase or does this kind of change it?",Thanks John. Operator: Thank you. Our next question comes from Matt O'Connor with Deutsche Bank. Your line is open.,Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
32,2025,Q1,7.0,1,Good morning. Just wanted to drill down on the credit card spend. Any comments in terms of changing patterns on the consumer card spend? There's been headlines in travel kind of going down. Just talk about some of the puts and takes in that up 7% year-over-year. Good morning. Just wanted to drill down on the credit card spend. Any comments in terms of changing patterns on the consumer card spend? There's been headlines in travel kind of going down. Just talk about some of the puts and takes in that up 7% year-over-year.,"Yeah, it's a good question and we're seeing that too. So let me talk about travel. I mean we obviously saw the airlines discuss what they are seeing as headwinds for them, specifically in airline travel, and we're seeing that too through the card spend. It's not obvious to us that that's necessarily an indicator for broader patterns. There are a variety of potential explanations for the narrow drop in airline spend. And as I mentioned previously, another thing that we are seeing looking at the April data is what would appear to be a little bit of front-loading of spending, specifically in items that might be – have prices go up as a function of tariffs. So you see people behaving rationally, and I have noted even you hear anecdotes, and I've seen evidence of companies specifically advertising we have pre-tariff inventory and so on and so forth. So it's not that surprising that you're seeing that a little bit in the spending data. The other thing that people are kind of interested in this space is like what's happening by income band, because we have seen some of the retailers and other folks talking about weaknesses in the lower income segment. And I think when we look at our Card data and also our cash buffers and peoples' checking accounts, of course, it is true that it is relatively weaker in the lower income segment. But when you take a step back and you ask, are we seeing signs of distress in the lower income segment? The answer is no. So, sure, the margin and cash buffers are lower, and you see some rotation of spend and spending is a little bit weaker than it was in the peak spending moments. But actually, some of the increases in spending that we're seeing in April are actually coming from the lower income segment. So no evidence of distress, I would say.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
34,2025,Q1,8.0,1,"Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed. Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed.","Sorry, the – I actually didn't hear. Which fees?",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
35,2025,Q1,8.0,2,"Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed. Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed.",Delinquencies in Home Lending.,Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
36,2025,Q1,8.0,3,"Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed. Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed.",I didn't – interesting. I haven't looked at that. We'll have to get back to you on that,Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
37,2025,Q1,8.0,4,"Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed. Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed.",I don't think it's anything...,Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
38,2025,Q1,8.0,5,"Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed. Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed.","Whatever it is, it wasn't important enough to get raised, so.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
39,2025,Q1,8.0,6,"Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed. Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there? Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed.","It could be the First Republic accounting, yes",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
46,2025,Q1,9.0,1,"Hi. Good morning and thanks for taking my questions. Wanted to start off with one on the proposed SLR changes and just the impact of rate volatility. The Treasury is committed to providing relief to the banks under the SLR just to help mitigate some of the volatility in the 10-year. But given the geopolitical concerns, weakening global demand for treasuries, how does it inform your appetite just for purchasing U.S. Treasuries if those reforms are implemented and just how you're managing rate risk maybe more holistically across the Firm, just in light of some the recent volatility? Hi. Good morning and thanks for taking my questions. Wanted to start off with one on the proposed SLR changes and just the impact of rate volatility. The Treasury is committed to providing relief to the banks under the SLR just to help mitigate some of the volatility in the 10-year. But given the geopolitical concerns, weakening global demand for treasuries, how does it inform your appetite just for purchasing U.S. Treasuries if those reforms are implemented and just how you're managing rate risk maybe more holistically across the Firm, just in light of some the recent volatility?","Yes. So SLR alone isn't going to change that much for us. It may change for other people. We really need reform across SLR, G-SIFI, CCAR, Basel III and LCR, all of which have deep flaws in them to make a material change. And remember, it's not relief to the banks; it's relief to the markets. JPMorgan will be fine with/without an SLR change. The reason to change some of these things is so banks – the big market makers could intermediate more in the markets. If they don't – if they do, spreads will come in, there'll be more active traders. If they don't, the Fed will have to intermediate, which I think is just a bad policy idea that every time there's a kerfuffle in the markets, the Fed has to come in and intermediate. So they should make these changes. The point – the reason why is when you have very – a lot of volatile markets and very wide spreads and low liquidity in treasuries, it affects all other capital markets. That's the reason to do it; not as a favor to the banks themselves. And we don't take more interest rate exposure to this in any way, shape or form. So it's not like we're going to change our position. We intermediate in the markets to help clients do what they have to do. And if the banks could take bigger positions, they would have just larger dealer positions and take no – basically take not much more interest rate exposure. I should say that our folks did a fabulous job trading this quarter.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
47,2025,Q1,9.0,2,"Hi. Good morning and thanks for taking my questions. Wanted to start off with one on the proposed SLR changes and just the impact of rate volatility. The Treasury is committed to providing relief to the banks under the SLR just to help mitigate some of the volatility in the 10-year. But given the geopolitical concerns, weakening global demand for treasuries, how does it inform your appetite just for purchasing U.S. Treasuries if those reforms are implemented and just how you're managing rate risk maybe more holistically across the Firm, just in light of some the recent volatility? Hi. Good morning and thanks for taking my questions. Wanted to start off with one on the proposed SLR changes and just the impact of rate volatility. The Treasury is committed to providing relief to the banks under the SLR just to help mitigate some of the volatility in the 10-year. But given the geopolitical concerns, weakening global demand for treasuries, how does it inform your appetite just for purchasing U.S. Treasuries if those reforms are implemented and just how you're managing rate risk maybe more holistically across the Firm, just in light of some the recent volatility?","And Steve, all I would add to that is that it is, of course, true, and we all remember the moment a few years ago when intermediaries were, in fact, bound by SLR as a result of the expansion of the deposit base, and extraordinary actions needed to be taken to address that. So we've seen when it is binding, and it works not as designed, which is why we do very much agree that it should be fixed. I think our point is a little bit, as Jamie said in his Chairman's letter, that it's not the only thing that needs to be fixed, and there are interactions among all these things. And we, as a bank, are not particularly bound by it. There is some interesting nuance too in terms of the potential TLAC issuance impact there, which is quite sensitive to which particular fix gets put in. So that will be an interesting thing to watch.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf
