,year,quarter,question_number,answer_number,question,answer,speaker_name,role,role_normalised,source_pdf,label,group_key
15,2024,Q4,4.0,1.0,"Hey. Good morning. Maybe just on regulation, we have a new administration coming in. We have a new, soon-to-be, I guess, a new head of regulation at the Fed. So, maybe just talk about, again, what areas of the regulatory structure, if it were to change, would be most impactful for you. And is there any areas where you think capital requirements could actually go down? Or is this more of a story of requirements just simply stop going up? Thanks.","Hey, Jim. I mean, it's obviously something we're thinking about a lot. But I could go down some pretty deep rabbit holes speculating on all the different parts of the framework and how they could evolve, and I just don't really think that's productive right now. But let me make some attempt to answer your question. So, backing up a second, if you read Jamie's quotes, they're very consistent with what we've been saying as a company for a long time, which is that all we want is a coherent, rational, holistically-assessed regulatory framework that allows banks to do their job, supporting the economy, that isn't reflexively anti-bank, that doesn't default to the answer to every question being more of Hey, Jim. So, backing up a second, if you read Jamie's quotes, they're very consistent with what we've been saying as a company for a long time, which is that all we want is a coherent, rational, holistically-assessed regulatory framework that allows banks to do their job, supporting the economy, that isn't reflexively anti-bank, that doesn't default to the answer to every question being more of",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-4q24-earnings-transcript-checkpoint.pdf,Evasive,2024_Q4_4.0
16,2024,Q4,4.0,2.0,"Hey. Good morning. Maybe just on regulation, we have a new administration coming in. We have a new, soon-to-be, I guess, a new head of regulation at the Fed. So, maybe just talk about, again, what areas of the regulatory structure, if it were to change, would be most impactful for you. And is there any areas where you think capital requirements could actually go down? Or is this more of a story of requirements just simply stop going up? Thanks.","everything, more capital, more liquidity, that uses data and that balances the obvious goal that we all share of a safe and sound banking system with actually recognizing that banks play a critical role in supporting growth, and the hope is that we get some of that. And that also, while we're at it, some aspects of the supervisory framework get a little bit less bureaucratic and a little less adversarial and a little bit more substantive so that at the margin, management can focus its time on the things that matter the most. So, whether capital goes up, down, stays flat is really so complicated because it's not just Basel III Endgame, it's also a G-SIB, it's also a number of other factors. And that's why we keep hammering away on the importance of doing all of this holistically, properly with the right analysis. And if that takes time, so be it.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-4q24-earnings-transcript-checkpoint.pdf,Direct,2024_Q4_4.0
17,2024,Q4,4.0,3.0,"Hey. Good morning. Maybe just on regulation, we have a new administration coming in. We have a new, soon-to-be, I guess, a new head of regulation at the Fed. So, maybe just talk about, again, what areas of the regulatory structure, if it were to change, would be most impactful for you. And is there any areas where you think capital requirements could actually go down? Or is this more of a story of requirements just simply stop going up? Thanks.","Can I just add, no that's great. Jeremy gave it all. Let me add three quick things. Liquidity is also equally important. There's been a lot of recognition that what counts as liquidity and discount windows and how LCR is done I think is very important. Second is competition. All these things should be done in light of looking at what kind of public markets you want, what kind of private markets you want, what do you want in the banking system, what you want out of the banking system. And the third is I think most people realize there is a huge need to take a step back and look at the Byzantine, Balkanized system we built which has negatives, and even the regulators will tell you that. So, at one point, just take a deep breath. As Jeremy said, let's do the right thing and continue to have the best financial system in the world.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-4q24-earnings-transcript-checkpoint.pdf,Direct,2024_Q4_4.0
18,2024,Q4,5.0,1.0,"Yeah. No, that makes sense. And maybe just as a follow-up, just on loan growth. Have you – since the election, it seems like CEO confidence, business confidence has increased. So, are you starting to see any improvement in demand on lending? Just any thoughts there would be great. Operator: Thank you. Next, we will go to the line of Erika Najarian from UBS. Your line is open.","Yeah, it's a good question. And I think given the significant improvement in business sentiment and the general optimism out there, you might have expected to see some pickup in loan growth. We are not really seeing that. I don't particularly think that's a negative. I think it's probably explained by a combination of wide-open capital markets, and so many of the larger corporates accessing the capital markets and healthy balance sheets in small businesses and maybe some residual caution. And maybe there are some pockets and some industries where some aspects of the policy uncertainty that we might be facing are making them a little bit more cautious than they otherwise would be about what they're executing in the near-term. But, we'll see what the new year brings as the current optimism starts getting tested with reality, one way or the other. And maybe if it materializes with tangible improvements and things one way or the other, you'll actually see that come through C&I loan growth in particular. Jim Mitchell Analyst, Seaport Global Securities LLC Okay. Great. Thanks.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-4q24-earnings-transcript-checkpoint.pdf,Direct,2024_Q4_5.0
19,2024,Q4,7.0,2.0,"And just a follow-up question – a follow-up to John's line of questioning. As a placeholder, as we think about what you said, trying to arrest the growth of CET1, for now, should we just assume that anything that you don't need for organic growth and your dividend obligations in terms of that 15.7% will be bought back by the company as we think about? I know you don't want to predict the buyback, but is that sort of just a placeholder for now as we think about what can return back to shareholders in the form of repurchase?","So, we are never going to tell the market what we're going to do. You all know that everybody is out there modeling these things, trading against these things. So, steady consistent buyers in the marketplace who are so predictable are making a mistake. Operator: Does that conclude your question, Erika?",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-4q24-earnings-transcript-checkpoint.pdf,Direct,2024_Q4_7.0
20,2024,Q4,9.0,1.0,"Okay. And then just separately, a strategic question. There's been some reports about you further expanding the Consumer Banking business globally. And I guess I just want to push on that where we really haven't seen other banks do it in a successful way. Obviously, your approach is kind of coming from a position of strength, leading digitally. But I guess I'm just wondering like is it worth it? Is there enough upside to justify maybe some of the increased regulatory and execution risk of doing global consumer banking? Operator: Thank you. Our next question comes from Betsy Graseck from Morgan Stanley. You may proceed. Betsy L. Graseck Analyst, Morgan Stanley & Co. LLC Hi. Good morning.","Yeah. I think you kind of answered your own questions in a sense, like we talked about this a lot when we first launched the initiative. And I just think that the comparison to other players is not apt in the current moment. That's not to say that like we're special or anything. It's just that the strategy is very different and it's a very different moment. So it's a new initiative. It's obviously not risk-free, but it's going pretty well. And pointing out the obvious, if we didn't think it was worth it, we wouldn't be doing it. But we have obviously considered all of the risks and opportunities associated with the decision. And it's one of our strategic initiatives, and those get scrutinized quite aggressively through all of our management processes. Matt O'Connor Analyst, Deutsche Bank Securities, Inc. Okay. Thank you.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-4q24-earnings-transcript-checkpoint.pdf,Direct,2024_Q4_9.0
21,2023,Q1,2.0,1.0,"Hey, thanks. Good morning. Hey, Jeremy, I was just wondering if you can just give us a little bit more detail on those lower funding expectation points that you made, just in terms of is it because of what you can offer the client that might allow you to kind of keep that beta lower? And maybe you can just kind of wrap it into what your overall beta expectations are in that revised update? Thank you.","Yeah, sure. So let me just summarize the drivers of the change in the outlook. So the primary driver really is lower deposit rate paid expectations across both consumer and wholesale, which, as you mentioned, is driven by a couple factors. So, the change in the rate environment, with cuts coming sooner in the outlook, all else equal, does take some pressure off the reprice. And as you said, we're getting a lot of positive feedback from the field on our product offerings. The short-term CD, in particular, is really getting a lot of positive feedback from our folks in the branches. It's been very attractive to yield-seeking customers. So that's kind of working well. And then on the asset side, we are seeing a little bit higher Card revolve, which is helping. And I'll just remind you that at a conference in February, I suggested that we were already starting to feel like some of the uncertainties we mentioned when giving the guidance had started all moving in the same direction, and that was one of the things that contributed to the upward revision, like all of the uncertainty kind of went the same way. But as Jamie's pointed out – those uncertainties are all still there, we highlight them on the page, and as we look forward to this year and to next year and the medium-term we remain very focused on those.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct,2023_Q1_2.0
22,2023,Q1,6.0,1.0,Hi. Good morning. My first question is you mentioned that your reserve build was driven mostly by worse economic assumptions. I'm wondering if you could update us on what unemployment rate you're assuming in your reserve.,"Yeah. So, Erika, as you know, we take – not going to go into a lot of detail here – but we take the outlook from our economists, we run a bunch of different scenarios and we probability-weight those. The central case outlook from our research team hasn't actually changed, but we felt that in line with what Jamie just said in terms of a little bit of tightening as a result of the events of March, it made sense to add a little bit of weight to our relative adverse case. So we did that, which changed the weighted-average expectation. And I think that the weighted-average peak unemployment that we're using now is something like 5.8%.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Evasive,2023_Q1_6.0
23,2023,Q1,14.0,1.0,"And just as a follow up, I think the other risk from higher for longer rates, I think, is this – the ability of the economy, the financial markets to sustain a 5% less Fed fund for a long period of time? Like, what are the other areas you're watching if duration mismatch and bank balance sheets being one, CRE market being one, are you worrying – worried about non-banks that have grown exponentially over the last decade in terms of risks at the non-banks if rates don't get cut? And if you can talk to the transmission mechanism of that coming back and hitting banks given the leverage that banks provide to the non-banks. Got it. Very helpful. Thank you. Operator: The next question comes from the line of Mike Mayo with Wells Fargo Securities. You may proceed.","Yeah, so I'd like to answer that. So there is a risk of higher rates for longer. And don't just think of just the Fed Funds rate, because I think you should – for our planning – I'd be thinking more about it could be 6%. And then think about the five- and ten-year rate which could be 5%, and I think if those things happen – I'm not saying they're going to happen – I just think people should prepare for them, they saw what just happened when rates went up beyond people's expectations. You had the gilt problem in London, you had some of the banks here. People need to be prepared for the potential of higher rates for longer. If and when that happens, it will undress problems in the economy for those who are too exposed to floating rates, for those who are too exposed to re-fi risk. Those exposures will be in multiple parts of the economy. I say to all of our clients – now would be the time to fix it. Do not put yourself in a position where that risk is excessive for your company, your business, your investment pools, et cetera. That's answer number one. Number two is, it will not come back to JPMorgan. Okay? While we do provide credit to what you call shadow banks, it is very – we think – it's very, very secure. That does not mean it won't come back to other credit providers.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct,2023_Q1_14.0
24,2023,Q1,15.0,1.0,"Hey Jeremy, you mentioned a degree of reintermediation to the lending markets. You said capital markets activity has gone to bank lending, and I'm just wondering, as part of your $7 billion increased NII guide, are you assuming better loan spreads? And on the topic of loan pricing, why aren't your credit card yields going higher than where they are today? Thanks.","Yeah, Mike. So I think, yeah, you're referring to my comments that I made in the Commercial Bank about the fact that the larger Corporate segment within the Commercial Bank that would generally have access to capital markets but also access to bank lending, at the margin is choosing to draw down revolvers right now rather than access the capital markets. That is not a particularly meaningful driver of the increase in NII guidance. There's a lot of odds and ends in there, but the major drivers are the ones that I called out. And to be honest, I haven't actually specifically checked what's happening with Card yields. I would imagine that they've gone up a little bit in line with rates, but I don't know. We should follow up here.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Evasive,2023_Q1_15.0
25,2023,Q1,17.0,1.0,"Hey Jamie, your CEO letter said the banking crisis isn't over. So, what do you mean by that? Or was that dated two weeks later? Are you talking contagion or what? All right. Thank you.","Yeah. So it's just – the number of banks offsides you can count on your hands, in terms of too much interest rate exposure, too much ATM, too much uninsured deposits. And so there may be additional bank failures, something like that, which we don't know. But you're going to see next week regional banks have pretty good numbers. A lot of people are going to have – can take – actions to remediate some of the issues they may have going forward. You've already seen things calm down quite a bit, particularly in deposit flows. Warren Buffett was on TV talking about that he would bet $1 million – I don't know if you saw that – that no depositor will lose money in America. That he's willing to bet his own money. And of course, you know he's a very bright man. So, this crisis is not 2008. It will pass. And the one thing I pointed out is, when I answered the question just before about interest rates – people need to be prepared. They shouldn't pray that they don't go up. They should prepare for them going up. And if it doesn't happen, serendipity.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct,2023_Q1_17.0
