,section,question_number,answer_number,speaker_name,role,company,content,year,quarter,is_pleasantry,source_pdf,role_normalised
109,qa,3.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Everyone trades stocks in a different way, so sentiment – but banks are a cork in the ocean when it comes to the economy. If the economy gets worse, credit losses will go up, volumes can change, deal curves can change. And we're not predicting all of that. What I would say is our excellent economist, Michael Feroli, I called him this morning, specifically to ask him, how they're looking at their forecast today, they think it's about 50-50 for a recession. So I'll just refer to that. Obviously, if there's a recession, credit losses will go up and other factors will change, too. And I think the one thing I'll add to what Jeremy said is – and I don't usually pay that much attention to anecdotes, but this time I am. And I think you're going to see a lot of companies – you guys – not you, but the analyst community has already reduced its earnings estimates for the S&P by 5%. So it's – now it's up 5% as opposed to up 10%. My guess is that will be zero and negative 5%, probably in the next month. And then you're going to hear 1,000 companies report, and they're going to tell you what their guidance is. My guess is a lot will remove it. They're going to tell you what they think it might do to their customers, their base, their earnings, their cost, their tariffs. It's different for every company. But I assume you'll see that. And anecdotally, a lot of people are not doing things because of this. They're going to wait and see. And that's M&A, that's M&A with middle market companies, that's people's hiring plans and stuff like that. So people have to adjust to this new environment. And I think we'll see what it is. I just also want to point out, just to – so you can round it up. This is to make you feel comfortable, not uncomfortable. When COVID hit, unemployment went from like 4% to 15% in a couple of months, and we had to add to reserves in a two-month period of $15 billion. And then to show you how stupid CECL is, in the three month – three quarter period, we took down the $15 billion. So, just – that just sizes up a bad recession. If it's a mild recession, it will be less than that. If it's a really bad recession, it will be more than that. Either way, we can handle it and serve our clients. Earnings won't be great and the stocks will go down, which I look at as an opportunity to buy back more stock.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
110,qa,4.0,,Erika Najarian,analyst,UBS Securities LLC,"Got it. And a second follow-up question. And I don't disagree with you guys on equity market performance of bank stocks. It's just that the mindset of portfolio managers is they always go back to sort of the lowest common denominator of fundamental performance versus thinking about resilience. And to that point, the second question is on the reserve. Jeremy, you mentioned a weighted-average unemployment rate of 5.8%. I think that's above where economists are thinking we could peak even in a recession scenario. How should we think about any incremental builds from here? And what you are going – obviously, deterioration in the outlook, but what more do you need to see in terms of how you make decisions about further builds from here?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
111,qa,4.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, Erika, it's a good question. But the truth is there's just a little bit too much uncertainty right now for me to sort of give an outlook for reserves, which is generally not a thing that we do anyway. As I mentioned in my prepared remarks, the [indiscernible] forecast at the end of the quarter was the sort of bog standard, no landing, barely any increase in unemployment. Given that we knew at the time that there was – there were some big pending announcements, and there was quite a bit of elevated uncertainty around that, it felt like the forecasts were kind of lagging because people were just waiting to actually get the information and so it felt appropriate to add a little bit of downside skew to our probability assessment, which is what led to the increase and what led to the build.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
112,qa,4.0,2.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"We use this weighted-average unemployment thing as a useful way to help explain what's going on inside the reserve. But obviously, the actual mechanisms are quite complex, the depth in any financial recession, the timing of it, distribution of outcomes, which sectors have hits, idiosyncratic stuff in wholesale. There's a lot. I think on consumer, as Jamie mentioned, it is worth remembering that by far the most important variable is unemployment. So if the labor market remains very strong, consumer credit will probably be fine. If it doesn't, then you're going to see it play through the way it always does.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
115,qa,5.0,,John McDonald,analyst,Truist Securities Inc.,"Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
116,qa,5.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,We should have not given you that forecast. We don't know what the number is going to be. That's a...,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
118,qa,5.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"I would say that's a short-term number, and based on what's happening today, there's a wide range of potential outcomes.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
120,qa,5.0,3.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"But, mechanically, John, though, as you alluded to, there are some mechanical elements to the way Card charge-off works that means that it's pretty baked pretty far ahead of time.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
121,qa,5.0,4.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,The next couple of quarters. Yeah.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
122,qa,5.0,5.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"So, sort of echoing Jamie's point, it just doesn't necessarily tell you that much about what might actually happen through the end of the year. Even if unemployment were to increase significantly, it probably wouldn't flow through the charge-offs until later.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
123,qa,6.0,,John McDonald,analyst,Truist Securities Inc.,"Okay. Got it. And then just on capital, how does this type of macro uncertainty impact your thinking around conserving capital as opposed to deploying it through your investment agenda and buybacks as the stock gets cheaper? Or just, are you still looking to arrest the increase or does this kind of change it?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
124,qa,6.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"The investment that we do in banks, branches, technology, AI is going to continue regardless of the environment. And then we have – depending what happens to Basel III and CCAR and G-SIFI and all that, $30 billion to $60 billion of excess capital. And in the Chairman's letter, I wrote about what we think of that. But based upon the environment, the turbulence issues, I like having excess capital. We are prepared for any environment. And that's so we can serve clients. That's not for any other reason. So, we have plenty of capital and plenty of liquidity to get through whatever the stormy seas are.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
126,qa,6.0,2.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Thanks John. Operator: Thank you. Our next question comes from Matt O'Connor with Deutsche Bank. Your line is open.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
127,qa,7.0,,Matt O’Connor,analyst,"Deutsche Bank Securities, Inc.",Good morning. Just wanted to drill down on the credit card spend. Any comments in terms of changing patterns on the consumer card spend? There's been headlines in travel kind of going down. Just talk about some of the puts and takes in that up 7% year-over-year.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
128,qa,7.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, it's a good question and we're seeing that too. So let me talk about travel. I mean we obviously saw the airlines discuss what they are seeing as headwinds for them, specifically in airline travel, and we're seeing that too through the card spend. It's not obvious to us that that's necessarily an indicator for broader patterns. There are a variety of potential explanations for the narrow drop in airline spend. And as I mentioned previously, another thing that we are seeing looking at the April data is what would appear to be a little bit of front-loading of spending, specifically in items that might be – have prices go up as a function of tariffs. So you see people behaving rationally, and I have noted even you hear anecdotes, and I've seen evidence of companies specifically advertising we have pre-tariff inventory and so on and so forth. So it's not that surprising that you're seeing that a little bit in the spending data. The other thing that people are kind of interested in this space is like what's happening by income band, because we have seen some of the retailers and other folks talking about weaknesses in the lower income segment. And I think when we look at our Card data and also our cash buffers and peoples' checking accounts, of course, it is true that it is relatively weaker in the lower income segment. But when you take a step back and you ask, are we seeing signs of distress in the lower income segment? The answer is no. So, sure, the margin and cash buffers are lower, and you see some rotation of spend and spending is a little bit weaker than it was in the peak spending moments. But actually, some of the increases in spending that we're seeing in April are actually coming from the lower income segment. So no evidence of distress, I would say.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
129,qa,8.0,,Matt O’Connor,analyst,"Deutsche Bank Securities, Inc.","Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially re-season from an accounting point of view? Or is there something else going on there?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
130,qa,8.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Sorry, the – I actually didn't hear. Which fees?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
131,qa,8.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,Delinquencies in Home Lending.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
132,qa,8.0,3.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,I didn't – interesting. I haven't looked at that. We'll have to get back to you on that,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
133,qa,8.0,4.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,I don't think it's anything...,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
134,qa,8.0,5.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Whatever it is, it wasn't important enough to get raised, so.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
135,qa,8.0,6.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"It could be the First Republic accounting, yes",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
137,qa,8.0,6.0,Matt O’Connor,analyst,"Deutsche Bank Securities, Inc.",Okay. Thank you. Operator: Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
138,qa,9.0,,Steven Chubak,analyst,Wolfe Research LLC,"Hi. Good morning and thanks for taking my questions. Wanted to start off with one on the proposed SLR changes and just the impact of rate volatility. The Treasury is committed to providing relief to the banks under the SLR just to help mitigate some of the volatility in the 10-year. But given the geopolitical concerns, weakening global demand for treasuries, how does it inform your appetite just for purchasing U.S. Treasuries if those reforms are implemented and just how you're managing rate risk maybe more holistically across the Firm, just in light of some the recent volatility?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
139,qa,9.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yes. So SLR alone isn't going to change that much for us. It may change for other people. We really need reform across SLR, G-SIFI, CCAR, Basel III and LCR, all of which have deep flaws in them to make a material change. And remember, it's not relief to the banks; it's relief to the markets. JPMorgan will be fine with/without an SLR change. The reason to change some of these things is so banks – the big market makers could intermediate more in the markets. If they don't – if they do, spreads will come in, there'll be more active traders. If they don't, the Fed will have to intermediate, which I think is just a bad policy idea that every time there's a kerfuffle in the markets, the Fed has to come in and intermediate. So they should make these changes. The point – the reason why is when you have very – a lot of volatile markets and very wide spreads and low liquidity in treasuries, it affects all other capital markets. That's the reason to do it; not as a favor to the banks themselves. And we don't take more interest rate exposure to this in any way, shape or form. So it's not like we're going to change our position. We intermediate in the markets to help clients do what they have to do. And if the banks could take bigger positions, they would have just larger dealer positions and take no – basically take not much more interest rate exposure. I should say that our folks did a fabulous job trading this quarter.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
140,qa,9.0,2.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"And Steve, all I would add to that is that it is, of course, true, and we all remember the moment a few years ago when intermediaries were, in fact, bound by SLR as a result of the expansion of the deposit base, and extraordinary actions needed to be taken to address that. So we've seen when it is binding, and it works not as designed, which is why we do very much agree that it should be fixed. I think our point is a little bit, as Jamie said in his Chairman's letter, that it's not the only thing that needs to be fixed, and there are interactions among all these things. And we, as a bank, are not particularly bound by it. There is some interesting nuance too in terms of the potential TLAC issuance impact there, which is quite sensitive to which particular fix gets put in. So that will be an interesting thing to watch.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
141,qa,10.0,,Steven Chubak,analyst,Wolfe Research LLC,"Thank you both for that perspective. And just for my follow-up, did want to ask on the Markets outlook. So, admittedly, less surprising to hear some of the cautious IB commentary in light of the uncertainty. But was hoping you could just speak to the Markets businesses which have been performing extraordinarily well of late and just given the combination of elevated volatility, but also some indications that clients are taking down risk, how you expect that business to perform over the coming quarters.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
142,qa,10.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. It's a good question. As you know, Steve, we're obviously not going to give Markets guidance. Your guess is as good as ours at some level. But the ingredients are the right ingredients. I mean, we've often discussed about how this business, all else equal, benefits from a volatile environment if markets are operating relatively normally, which they more or less have been. Of course, it's not guaranteed. We need to do a good job managing the risk. And yeah, there are states of the world where if our clients are struggling or deleveraging or taking down risk, that could be a headwind for us. So we're going to just do what we always do and try to manage the risk well and serve our clients, but we were certainly happy to see the performance this quarter.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
143,qa,10.0,1.0,Steven Chubak,analyst,Wolfe Research LLC,That's great. Thank you both for taking my questions. Operator: Thank you. Our next question comes from Gerard Cassidy with RBC Capital Markets. You may proceed.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
144,qa,11.0,,Gerard Cassidy,analyst,RBC Capital Markets LLC,"Thank you. Hi, Jeremy and Jamie. Can you guys share with us – if you take a look at the non-traditional lenders, private credit lenders, they've been very active in grabbing market share from the traditional commercial banks over the last two or three years, particularly since the initial Basel III Endgame proposal came out in July of 2023, which is no longer applicable. But are you guys seeing any opportunities where customers may re-intermediate back into the banks like your bank because of this volatility?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
145,qa,11.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I mean that's hard to tell, Gerard. I think it's too early to tell. But what I would say is that it kind of – your question aligns with what we've been saying about this space for some time, which is we want to be product agnostic here and give our clients the best option that makes sense for them in the moment. Whether that's a traditional syndicated lending facility or something that looks more like a unitranche, direct lending type structure, we're open for business for all of it. And I would say that when we talk about the financial system being a source – the banking system being a source of strength in this environment, part of what we're talking about is our commitment and willingness to lend through cycles, as we've always done in the past and that we have the underwriting capability and the capital and the liquidity and the experience to be reliable lenders in serving our clients no matter what type of environment we're in. So, if that means that we have an opportunity to compete incrementally even more effectively in this environment, that will be great.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
