question_number,answer_number,speaker_name,role,company,content,year,quarter
14,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yes. So SLR alone isn't going to change that much for us. It may change for other people. We really need reform across SLR, G-SIFI, CCAR, Basel III and LCR, all of which have deep flaws in them to make a material change. And remember, it's not relief to the banks; it's relief to the markets. JPMorgan will be fine with/without an SLR change. The reason to change some of these things is so banks – the big market makers could intermediate more in the markets. If they don't – if they do, spreads will come in, there'll be more active traders. If they don't, the Fed will have to intermediate, which I think is just a bad policy idea that every time there's a kerfuffle in the markets, the Fed has to come in and intermediate. So they should make these changes. The point – the reason why is when you have very – a lot of volatile markets and very wide spreads and low liquidity in treasuries, it affects all other capital markets. That's the reason to do it; not as a favor to the banks themselves. And we don't take more interest rate exposure to this in any way, shape or form. So it's not like we're going to change our position. We intermediate in the markets to help clients do what they have to do. And if the banks could take bigger positions, they would have just larger dealer positions and take no – basically take not much more interest rate exposure. I should say that our folks did a fabulous job trading this quarter.",2025,Q1
14,2,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"And Steve, all I would add to that is that it is, of course, true, and we all remember the moment a few years ago when intermediaries were, in fact, bound by SLR as a result of the expansion of the deposit base, and extraordinary actions needed to be taken to address that. So we've seen when it is binding, and it works not as designed, which is why we do very much agree that it should be fixed. I think our point is a little bit, as Jamie said in his Chairman's letter, that it's not the only thing that needs to be fixed, and there are interactions among all these things. And we, as a bank, are not particularly bound by it. There is some interesting nuance too in terms of the potential TLAC issuance impact there, which is quite sensitive to which particular fix gets put in. So that will be an interesting thing to watch.",2025,Q1
15,,Steven Chubak,analyst,Wolfe Research LLC,"Thank you both for that perspective. And just for my follow-up, did want to ask on the Markets outlook. So, admittedly, less surprising to hear some of the cautious IB commentary in light of the uncertainty. But was hoping you could just speak to the Markets businesses which have been performing extraordinarily well of late and just given the combination of elevated volatility, but also some indications that clients are taking down risk, how you expect that business to perform over the coming quarters.",2025,Q1
15,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. It's a good question. As you know, Steve, we're obviously not going to give Markets guidance. Your guess is as good as ours at some level. But the ingredients are the right ingredients. I mean, we've often discussed about how this business, all else equal, benefits from a volatile environment if markets are operating relatively normally, which they more or less have been. Of course, it's not guaranteed. We need to do a good job managing the risk. And yeah, there are states of the world where if our clients are struggling or deleveraging or taking down risk, that could be a headwind for us. So we're going to just do what we always do and try to manage the risk well and serve our clients, but we were certainly happy to see the performance this quarter.",2025,Q1
16,,Steven Chubak,analyst,Wolfe Research LLC,That's great. Thank you both for taking my questions. Operator: Thank you. Our next question comes from Gerard Cassidy with RBC Capital Markets. You may proceed.,2025,Q1
17,,Gerard Cassidy,analyst,RBC Capital Markets LLC,"Thank you. Hi, Jeremy and Jamie. Can you guys share with us – if you take a look at the non-traditional lenders, private credit lenders, they've been very active in grabbing market share from the traditional commercial banks over the last two or three years, particularly since the initial Basel III Endgame proposal came out in July of 2023, which is no longer applicable. But are you guys seeing any opportunities where customers may re-intermediate back into the banks like your bank because of this volatility?",2025,Q1
17,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I mean that's hard to tell, Gerard. I think it's too early to tell. But what I would say is that it kind of – your question aligns with what we've been saying about this space for some time, which is we want to be product agnostic here and give our clients the best option that makes sense for them in the moment. Whether that's a traditional syndicated lending facility or something that looks more like a unitranche, direct lending type structure, we're open for business for all of it. And I would say that when we talk about the financial system being a source – the banking system being a source of strength in this environment, part of what we're talking about is our commitment and willingness to lend through cycles, as we've always done in the past and that we have the underwriting capability and the capital and the liquidity and the experience to be reliable lenders in serving our clients no matter what type of environment we're in. So, if that means that we have an opportunity to compete incrementally even more effectively in this environment, that will be great.",2025,Q1
18,,Gerard Cassidy,analyst,RBC Capital Markets LLC,"Very good. Thank you. And then as a follow-up, you both just talked about the potential changes to the different regulatory outcomes for you and your peers, whether it's SLR or the G-SIB buffer, et cetera. Can you opine for us your views? Are you more confident with the new administration, the new personnel, whether it's Treasury Secretary Bessent or others, the nominees for different regulatory heads that there will be a better chance of real regulatory reform, they see it the way you guys do versus the prior administration?",2025,Q1
18,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, I mean, Gerard, we always say this, and it's true, which is that we work with all administrations and every administration as constructively as possible to express our opinions and advocate for the things that we think are right for the banking system and for the economy as a whole, and that was true before, and it's true now with this administration as well. Clearly, the administration has been quite vocal about wanting more pro-growth policies at the margin and for wanting to make it easier for banks to participate more constructively in the economy. And as we see the various folks and the various agencies go through the confirmation process, it will be helpful to have people in seats and get to work on some of the things that we want to get done. So let's see how that plays out, but we're looking forward to continuing to engage constructively.",2025,Q1
18,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yeah. I think there's a deep recognition of the flaws in the system, and there should be, and fortunately, they're going to take a good look at it.",2025,Q1
19,,Gerard Cassidy,analyst,RBC Capital Markets LLC,Very good. Thank you.,2025,Q1
19,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thanks, Gerard. Operator: Thank you. Our next question comes from Ebrahim Poonawala with Bank of America. You may proceed.",2025,Q1
20,,Ebrahim Poonawala,analyst,Bank of America Merrill Lynch,"Thank you. Good morning. I guess just wanted to follow up on the macro uncertainty. I think when you talk to investors, we've gone from enthusiasm for a pro-business administration to a lot of headwinds. And I think Jamie mentioned you'll have companies take down guidance, et cetera, potentially over the coming weeks. I'm just wondering what is it you think we need to see before this uncertainty abates, or the 90-day pause that we saw with some of the other countries on tariffs. Is that enough? Or I'm just wondering when you talk to clients, corporate CEOs, what are they looking for from the administration that would inject confidence to get back anywhere close to where we were maybe 60 or 90 days ago?",2025,Q1
20,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"First of all, some of all the issues that are raised existed before the new administration, like the geopolitical situation, the excess fiscal deficits, poorly done regulations and all that. Obviously, pro-growth is good, pro-business is good, pro-dereg is good. I think the best thing to do is to allow the Secretary of Treasury and the folks working with him and the administration to finish as quick as possible the agreements that they need to make with – around tariffs and with our trading partners. And I think there'll be agreements in principle. They're not going to be – trade agreements themselves would be 5,000 or 10,000 pages long. And that's the best way to go about it right now. That does not mean you won't have some of the effects take place anyway.",2025,Q1
21,,Ebrahim Poonawala,analyst,Bank of America Merrill Lynch,"Got it. I guess as a follow up, I think there's a lot of concern also in the treasury markets. We've seen the 10-year move from 3.99% to 4.50% in a matter of a week. Just your comfort level on terms of the functioning of the treasury market. Do you see the Fed stepping in, pausing QT, maybe even initiating some treasury purchases? Just any color would be great.",2025,Q1
21,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yeah. But again, I mean, we have sticky inflation. We had that before. I personally have told you all, I don't think that's going to go away, and that relates to that. Obviously, the U.S. dollar still is the reserve currency, and that isn't going to change, though some people may feel slightly differently about it. And the Fed – we've been inconsistent. There will be a kerfuffle of the treasury markets because of all the rules and regulations. I've told you that consistently. It happened in COVID, it happened before, it happened. That will happen. And then when that happens, the Fed will step in. That's what happens. And they're not going to do it now because you don't have all those issues yet. They'll do it when they start to panic a little bit, and we don't know if and when that's going to happen, and we'll see. But the notion that the 10-year Treasury has to go down is a false notion. If we look at history in prior times, when we have huge global deficits. Back in the '70s, in the '60s, the guns and butter. And tariffs, at least our economists think will be inflationary to 0.5% or something like that. So we'll have to wait and see and deal with it.",2025,Q1
22,,Ebrahim Poonawala,analyst,Bank of America Merrill Lynch,Thank you.,2025,Q1
22,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"For most – mostly haven't dealt with this stuff before, and you're going to see a lot of stuff taking place shortly in the next couple of months, and then we'll know.",2025,Q1
23,,Ebrahim Poonawala,analyst,Bank of America Merrill Lynch,Got it. Thank you so much. Operator: Thank you. Our next question comes from Jim Mitchell with Seaport Global Securities. You may proceed.,2025,Q1
24,,Jim Mitchell,analyst,Seaport Global Securities LLC,"Hey, good morning. Jeremy, just on – with four – three to four cuts sort of mostly in the back half, June to December, how do you think about the trajectory of NII this year? Is there a little more pressure towards the end of the year into 2026? Just trying to think of that around that trajectory and jumping off point into next year.",2025,Q1
24,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yes. It's funny, Jim, because I was asked on the press call, how come we're not like suspending guidance or whatever? And my answer was like...",2025,Q1
25,,Jim Mitchell,analyst,Seaport Global Securities LLC,Right.,2025,Q1
25,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"...well, whatever. We give guidance and we do our best, and it's contingent on a variety of external variables, and we always make our guidance contingent on that. So in that context...",2025,Q1
25,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,and the yield curve you're using...,2025,Q1
25,3,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, yeah, yeah.",2025,Q1
25,4,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,...which we know will not happen.,2025,Q1
25,5,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah. And the particular nuance, as you'll recall from last quarter, where we went into some detail about the various drivers of the NII outlook, including a little bit of a suggestion about the quarterly trajectory is that it's both the timing of rates and the – our expected evolution of deposit growth in the different businesses and how card revolve and how that was all going to interact, producing a potential trough in different moments and then so on and so forth. I think that given everything that's going on on that one, probably we'll wait for next quarter to give you any more color on that. Certainly, the back-loaded cuts, all else equal, from a run-rate perspective, introduced a little bit of a headwind on an exit rate going into next year. We'll just have to see how the balances play out through the next three quarters.",2025,Q1
26,,Jim Mitchell,analyst,Seaport Global Securities LLC,Right. And maybe just to...,2025,Q1
26,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"It will not happen that way, and we have a lot of options in what we want to do to change our exposure to interest rate.",2025,Q1
27,,Jim Mitchell,analyst,Seaport Global Securities LLC,"Right. And maybe just on that point on volumes and deposits, obviously, this kind of volatility tends to drive – as corporates and investors go to cash, tends to drive higher deposits. Did you see that trend in March and particularly in April? What are the trends like in the deposit side of the equation?",2025,Q1
27,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"It’s a little hard to tell, to be honest. It is true that wholesale deposits this quarter outperformed for us relative to our expectations. I don't think I can say with any confidence that that's a result of the environment that we're in. So I think next quarter will probably be a better time to assess that.",2025,Q1
27,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"I'll just – I'll say it may not be deposits. It may be treasury bills or various other things. And what you've seen which is different, it's not the risk off trade in the 10-year. That is fundamentally different this time.",2025,Q1
28,,Jim Mitchell,analyst,Seaport Global Securities LLC,Right. Okay. Thanks for taking my questions.,2025,Q1
28,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Thanks. Operator: Thank you. Our next question comes from Betsy Graseck with Morgan Stanley. You may proceed.,2025,Q1
29,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,"Thanks. Good morning, Jamie. Good morning, Jeremy. Two questions. One for Jamie, just to kick off.",2025,Q1
29,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,Good morning.,2025,Q1
30,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,"Jamie, you've been through many cycles. And I think we're all interested in understanding how you think this next cycle is likely to progress. And I'm wondering, is there anything that you've seen in the past that looks like this, or that you would suggest if any slowdown coming forward, is it more likely to be similar to what kind of prior cycle you've seen?",2025,Q1
30,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"An almost impossible answer. We look at all the cycles. And you know we prepare for a full range of outcomes. We're not – I don't personally like predicting what the future is going to hold. But I do – I've pointed out over and over, there's a lot of issues out there. I think some of those issues, you are going to see them resolve, for better or for worse, in the next four months. So maybe when we're doing this call next quarter, we won't have to be guessing. We'll actually know what the effect of some of these things was with some predictability and stuff like that. But it's – the result in a bank is almost always the same, which is volatile markets, credit losses go up, people get more conservative, investments go down, what looks like a recession. Is it mild or hard? I don't know and – but we are – I've been quite cautious, and you can see in our capital, our liquidity, our position, our balance sheet. And so we're prepared. But we do all that so we can",2025,Q1
30,2,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"serve our clients through thick or thin. We're not guessing about what the future is going to hold. Obviously, if you look at our numbers, we have the margins and capability to get through just about anything.",2025,Q1
31,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,"Excellent. Okay. No, thank you for that. And then...",2025,Q1
31,1,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"But Betsy, this is different, okay? This is different. This is the global economy, and please read my Chairman's Letter. The most important thing to me is the Western world stays together economically when we get through all this and militarily to keep the world safe and free for democracy. That is the most important thing. I really almost don't care fundamentally about what the economy does in the next two quarters. That isn't that important. We'll get through that. We've had recessions before and all that. It's the ultimate outcome. What's the goal? How can we get there? And it's literally that. I mean – and the China issue is a major issue. I don't know how that's going to turn out. We obviously have to follow the law of the land, but it's a significant change that we've never seen in our lives.",2025,Q1
32,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,"Okay. Thank you so much for that. And yes, looking forward to the next four months and clarity coming. So then one for Jeremy. Question on the wholesale loans. I'm going into this because I noticed your average loan growth, I think it was running at about 2% year-on-year. And then end of period loans was up 5% and wholesale loans was up 7%. So I'm just wondering if there was some line drawdowns at quarter end. And it's a broader question on just liquidity. Do you see your customers looking for more liquidity? Are they drawing down lines? And maybe if you could speak to liquidity in the front end of the market, that would be helpful, too. Thank you.",2025,Q1
32,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, it's a good question, Betsy. So a couple of things. One is in our soundings of our wholesale clients during sort of the moments of peak uncertainty, we did hear them talking about wanting to focus on shoring up liquidity. Interestingly, I actually asked the question like a day ago, whether we were seeing draws, meaningfully observable draws from clients. And the answer to that question was no, at least not yet. So, I don't know what to make of that, but perhaps it suggests that we do not see that level of heightened anxiety that people are more just focusing on addressing their supply chain issues right now. Yeah. So on wholesale loans. Beyond that, I don't think there's that much of a story. Now we're seeing a bit more growth in sort of like Markets loans as opposed to traditional C&I loans in the current moment, but that's neither here nor there. Did you have – yeah, you asked – what did you ask also, front end of the yield curve, liquidity?",2025,Q1
33,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,"Yes, just in...",2025,Q1
33,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Was that your question?,2025,Q1
34,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,"...money markets, Fed funds, the front end seemed to suggest...",2025,Q1
34,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Yeah. What we've heard from our Markets colleagues is that that's actually functioning quite smoothly.,2025,Q1
35,,Betsy L. Graseck,analyst,Morgan Stanley & Co. LLC,Okay. Thank you.,2025,Q1
35,1,Jeremy Barnum,Chief Financial Officer,JPMorganChase,Thanks Operator: Thank you. Our next question comes from Mike Mayo with Wells Fargo Securities. You may proceed.,2025,Q1
