bank,year,quarter,pra_category,summary,n_pairs,median_evasion
JPM,2023,Q2,Market risk,"The most important point is the fact that, as I said earlier, we don't consider this level of NII generation to be sustainable . The straight-up math of diluting down the ROTCE misses the possibility of repricing, repricing of products and services . The other thing we're over-earning on is credit, we're quite conscious about it. We would consider credit card normalizing to be closer to 3.5% . Deposit numbers have bounced around a little bit as a function of some of the turmoil that we saw in regional banks as well as obviously the First Republic transaction . But now, if you look at our kind of end-of-period deposits this quarter and you project forward, our core view is that we would expect a modest downward trend to re-assert itself .",26,0.7837499976158142
JPM,2023,Q2,Operational risk,"The way this number was constructed was to assume through-the-cycle betas on deposits, and so your notion that like the number would include deposit beta acceleration would not have been the case . Roughly, loans don't make sense to put on your balance sheet as a whole, almost any loan, and people have to recognize that .",6,0.6888499855995178
JPM,2023,Q3,Capital adequacy,"The 17% through the cycle target is a major headwind to returns, but that's probably the lower bound in terms of the impact of the Basel III Endgame . Once the rule is final, we will seek to reprice in the places where we can . There may be some opportunities for costless optimization .",3,0.8116999864578247
JPM,2023,Q3,Capital risk,"Jamie Dimon: We're currently focused on advocating as aggressively as possible for the necessary changes . The 17% through the cycle target is a major headwind to returns, but that's probably the lower bound in terms of the impact of the Basel III Endgame . There may be some opportunities for costless optimization, Dimon says . We saw that in 2021 going into 2022 where the revenue environment can change a lot in the short term . There are long-term plays and you shouldn't expect us to see trying to generate cosmetically lower costs in response to a lower revenue environment . The goal is to make sure that those other things are sized appropriately to what we believe sustainable through the cycle returns are .",4,0.83160001039505
JPM,2023,Q3,Credit risk,"While we're not predicting higher rates, I don't know if Jamie will have something to say here, we believe in being prepared for it . Basel III Endgame proposal, from our perspective, we're currently focused on advocating as aggressively as possible for the necessary changes . We just know probabilistically that it will, like everything else these days, tend to push capital higher . We've never lost the kind of money that people talk about in market making in the global market shock . It will force lower positions which is why I think it's a little risky, but it may also force more consolidation . Market makers have a different function than hedge funds, and I don't know what the real intent was with this .",7,0.8503999710083008
JPM,2023,Q3,Governance,"We don't really know what's going on inside the Fed, how many people get involved. In my view, it's become a very politicized process as opposed to the technical analysis I think is required to do it exactly right. So we'll see. They say put it in your comments, so everyone is going to put in extensive comments, kind of like you heard from Jeremy .",1,0.7602999806404114
JPM,2023,Q3,IRRBB,"Basel III Endgame proposal, from our perspective, we're currently focused on advocating as aggressively as possible for the necessary changes . We just know probabilistically that it will, like everything else these days, tend to push capital higher . But it's probably too early to try to provide that level of quantification on either front .",2,0.8544000089168549
JPM,2023,Q3,Liquidity,"We've been trying to be a little bit cautious about recognizing that we don't think the current levels are sustainable . We do think that we'll have to reprice in some pockets to some degree, maybe tiering or whatever at some point in the future . We think it’s probably closer to about $80 billion, with all of the obvious caveats that this is a guess . There has been an extraordinary amount of fiscal monetary stimulus still in the system, and of course, the geopolitics I think is just an extraordinary issue we have to deal with . The overall economic picture at least currently looks solid, this sort of immaculate disinflation trade is actually happening . Jamie Dimon: We're big and it's a very technology-centric business . The revenue environment can change a lot in the short term for reasons that can be largely out of your control . But there are long-term plays and you really shouldn’t expect us to see trying to generate cosmetically lower costs in response to a lower revenue environment .",13,0.8503999710083008
JPM,2023,Q3,Liquidity risk,"The reported interest-bearing, non-interest-bearing split is the best lens to look at this through for a couple of reasons, including the ECR product . In Consumer, in a world where savings is paying a relatively low-rate paid to cross-checking and savings, the migration dynamics are probably not that different right now . And then of course, across both consumers and small businesses, you've got slightly different dynamics in terms of how people manage their operating balances .",3,0.8755999803543091
JPM,2023,Q3,Market risk,"The themes are pretty much the same as we've seen in prior quarters . We've been trying to be a little bit cautious about recognizing that we don't think the current levels are sustainable . We do think that we'll have to reprice in some pockets to some degree, maybe tiering or whatever at some point in the future . In the meantime, the CD strategy is working well . On loan growth, the story is pretty consistent with what we've been saying all year . As we look forward, we're still optimistic about that, but it'll probably be a little bit more muted than it has been during this normalization period . We're just trying to remind everyone to not bank on the current run rates, which we just don't fundamentally think are sustainable . Jamie Dimon says JPMorgan Chase is going to be fine and we're building a lot of capital . But, I wouldn't necessarily assume that that's going to do a lot to preserve returns at the 17% target . ""We don't want to get too carried away with optimism here, but it's tempered with quite a bit of caution,"" he said . Jamie Dimon: We're always very focused on cost. Getting bigger, especially in markets is quite expensive . But the really important thing is market making is a critical function . Things are going well arguably a little bit better than we'd sort of modeled as part of the acquisition, and we're happy to see that .",18,0.8240000009536743
JPM,2023,Q3,Model risk,"While we're not predicting higher rates, I don't know if Jamie will have something to say here, we believe in being prepared for it and that's been our position for some time . So probably at the margin, we're still a little bit biased for slightly higher rates . But, do keep in mind that when modeling the duration of the balance sheet, higher rates do extend the duration or rather shorten the duration on the deposit side, so that can be a factor as well .",1,0.8363000154495239
JPM,2023,Q3,Operational risk,"Basel III Endgame proposal, from our perspective, we're currently focused on advocating as aggressively as possible for the necessary changes . We feel that it's important to manage expectations about the level of optimization that's possible, once the rule is finalized . Talking a lot about optimizing away stuff that might change just feels like a bit premature at this point .",2,0.709199994802475
JPM,2023,Q3,Risk management,"Basel III Endgame proposal, from our perspective, we're currently focused on advocating as aggressively as possible for the necessary changes . We feel that it's important to manage expectations about the level of optimization that's possible, once the rule is finalized . And so talking a lot about optimizing away stuff that might change just feels like a bit premature at this point . It's probably too early to try to provide that level of quantification on either front. I would point out that given how significant operational risk RWA is as part of the proposal, that is, you can think of that sort of as a generic tax across the entire spectrum . We feel that it's important to manage expectations about the level of optimization that's possible .",1,0.8725000023841858
JPM,2023,Q4,Capital adequacy,"The normal capital hierarchy will apply, but for now, we plan to remain on a modest pace of buybacks consistent with that kind of $2 billion net buyback a quarter number that we've talked about and that you've seen us do, in light of the – probably the need to continue building to have a bit of a buffer . And also just as a reminder, the SCB is probably a little bit low right now and has been quite volatile . Because that EaR fully includes all of the First Republic assets and liabilities with all the various dynamics . And so, I think that's kind of like an easier way to think about it for the company, he says . The company has been in the process of acquiring First Republic since 2008 .",3,0.8568000197410583
JPM,2023,Q4,Capital risk,"The way we see it, the consumer is fine. All of the relevant metrics are now effectively normalized . The question really, in light of the fact that cash buffers are now also normal, is how that spending behavior adjusts . JPMorgan Chase has very strong organic capital generation, uncertainty about the finalization of the rule and uncertainty about SCB requirements .",5,0.8518999814987183
JPM,2023,Q4,Credit risk,"Commercial Bank is the biggest dollar driver overall . In 2023, we built 166 new branches, and we're planning about a similar number this year . In AWM, continued client advisor hiring is a key driver, as well as making sure advisors and all of their new clients have the support that they need .",4,0.8140999972820282
JPM,2023,Q4,Governance,"It's going to hit… the day we did it, so... Yeah. I think what I said previously stands, which is that we're sticking with the modest pace for now . But obviously, we have a lot of flexibility to adjust that whenever we want under the current regime, and we may well do that .",2,0.865699976682663
JPM,2023,Q4,Liquidity,"QT is obviously a big focus and one of the complicating elements that we have in the current environment . Second half of this year is going to be interesting to watch in terms of what the Fed does . Our outlook is for deposits to be modestly down, with the shrinkage in system-wide deposits maybe partially offset by our belief that we can take some share .",10,0.8229999840259552
JPM,2023,Q4,Liquidity risk,"The more dovish Fed environment and these six cuts has the effect of taking a little bit of pressure off the reprice, especially product-level reprice . At the same time, we do continue to expect internal migration, particularly out of checking and savings into CDs . And that trajectory, I would expect to continue even in a lower rate environment . The second half of this year is going to be interesting to watch in terms of what the Fed does, and I think the Fed will do . I really don't want to get into the business of guiding on First Republic. It's going to hit… the day we did it, so... Yeah. I mean, I can probably answer that question .",3,0.804099977016449
JPM,2023,Q4,Market risk,"The way we see it, the consumer is fine. All of the relevant metrics are now effectively normalized . The hope and expectation of a continued rebound in the investment banking wallet is part of that . The biggest driver in the CIB is generic inflation, including labor as well as volume and revenue-related increases tied to the improved NIR outlook .",13,0.804099977016449
JPM,2023,Q4,Operational risk,"The Commercial Bank is the biggest dollar driver overall . In 2023, we built 166 new branches, and we're planning about a similar number this year . In AWM, continued client advisor hiring is a key driver, as well as making sure that advisors and all of their new clients have the support that they need . As you look into 2024, it's really pretty consistent themes to the ones that we had before, including hiring bankers both domestically and internationally . The CIB story is a little bit different, which recognizes, I think, both our very, very strong share positions as a starting point and also the fact that we've been investing quite aggressively for some time in the Payments business . There's clearly some very significant opportunities, not for nothing, starting with technology developers themselves . At the same time, we're not going to be chasing shiny objects here in AI . We want to do this in an extremely disciplined way, it's very commercial and very linked to tangible outcomes .",5,0.7777000069618225
JPM,2023,Q4,Risk management,"JPMorgan Chase CEO: ""We're not going to be chasing shiny objects here in AI. We want to do this in an extremely disciplined way, it's very commercial and very linked to tangible outcomes,"" he said . He added that the current focus is on making sure we have a contained, well-chosen list of high-impact use cases .",2,0.8726999759674072
JPM,2024,Q1,Capital adequacy,The current quarter's results annualized to more than the $2 billion Jamie talked about . A big part of that reason is discount accretion which was very frontloaded as a result of short-dated assets . It's also true that we expect the expense run rate to decline later in the year as we continue making progress on integration .,3,0.8019999861717224
JPM,2024,Q1,Capital risk,"Credit spreads in general, just broadly credit spreads including secondary markets and to some extent the leverage lending space, is that they are exceptionally tight . The single most important factor for that 17% is how much denominator expansion do we see through the Basel III Endgame . At the rate we're going, we won't know that much more about that by Investor Day .",6,0.8181999921798706
JPM,2024,Q1,Credit risk,"If rates go up, think of the yield curve, the 10-year bond rate, it goes up 2%, all assets, including real estate, are worth 20% less . That happens, leveraged loans, real estate will have some effect . And I just think the chance of happening is higher than other people . Credit spreads in general, including secondary markets and to some extent the leverage lending space, are exceptionally tight . ""We really do think that our overall value proposition and competitive position here is second to none,"" CEO says . ""We're looking forward to the future . The competitive dynamics are interesting. Certainly, there's some pressure in some areas, but we're not going to let it slide,"" he says .",9,0.8532000184059143
JPM,2024,Q1,Liquidity,"Moved from checking and savings to CDs is sort of the dominant trend with this driving the increase in weighted average rate paid in the consumer deposit franchise, that continues . We expect deposit balances to be flat to modestly down . And then, there's obviously the wild card of potential product level reprice, which we always say we're going to make those decisions situationally . This document contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995 . These statements are based on the current beliefs and expectations of JPMorgan Chase & Co.’s management and are subject to significant risks and uncertainties . Actual results may differ from those set forth in the forward-statement .",13,0.8671000003814697
JPM,2024,Q1,Liquidity risk,"The current yield curve, it's what I just said, the expectation of ongoing internal migration . There is some meaningful offset from Card revolve growth, which while it's a little bit less than it was in prior years, is still a tailwind there . We expect deposit balances to be flat to modestly down . And then, there's obviously the wild card of potential product level reprice, which is a function of competitive conditions in the marketplace .",2,0.7491999983787536
JPM,2024,Q1,Market risk,"Migration from checking and savings to CDs is sort of the dominant trend with this driving the increase in weighted average rate paid in the consumer deposit franchise . The relative lack of build this quarter is a function of the normal seasonal patterns of Card. We still expect 12% Card loan growth for the full year . Credit spreads in general, just broadly credit spreads including secondary markets and to some extent the leverage lending space, is that they are exceptionally tight . People are behaving rationally and in a sort of normal post-pandemic type of way as they manage their own balance sheets, and that's good news from a credit perspective .",16,0.8555999994277954
JPM,2024,Q1,Operational risk,"The U.S. is not isolated from global macroeconomic problems as a result of geopolitical situations, that’s not only a problem outside of the US; that affects the global economy . The notion that we would pull back meaningfully from one of the key competitive strengths that this company has always had which is, its sort of global character because of a particular moment geopolitically, would just be inconsistent with how we've always operated . And in terms of the Wholesale Payments business, it's going great .",1,0.845300018787384
JPM,2024,Q1,Risk management,"There are some auto-governors in this, right? Like some portion of the expense base is directly related to revenue . Independent of the environment, we are always looking for efficiencies. It's a little bit hard to see it, and in a world where we're guiding to, I guess, now with the special assessment added, $91 billion of expenses .",1,0.9
JPM,2024,Q2,Capital risk,"The board's announced intention to increase it to $1.25 is a 19% increase prior to last year . The stress capital buffer that's been released at 3.3% is a preliminary number . By rule, the Fed has to release that by August 31 . A lot of the activity is refinancing activity as opposed to acquisition finance . JPMorgan Chase & Co. does not undertake to update any forward-looking statements . The last thing that we're going to do is have excess capital, meaning that we lean into lending that is not inside our risk appetite or inside our credit box, especially in a world where spreads are quite compressed and terms are under pressure .",9,0.8468000292778015
JPM,2024,Q2,Credit risk,"QT is still a bit of a headwind, loan growth is modest and not enough to offset that . And our PE seems to have settled in roughly at its current levels, and there are reasons to believe that it might not go down that much more . But on balance net across all those various effects, we still think that there are net headwinds to deposit balances .",8,0.8366499841213226
JPM,2024,Q2,Governance,"JPMorgan CEO: We don't want to get into the business of guiding on buybacks . We're going to buy back whatever we think makes sense in the current moment sort of and we reserve the right to sort of change that at any time . You talked about the $4.9 billion, which I recognize may seem like a little bit of a random number . And beyond that, what you’re left with is my answer to Steve’s question, which is that, to your point about buying back earnings, we don’t feel that now is the right time to buy back earnings or whatever . We’ll go to the line of Gerard Cassidy from RBC Capital Markets .",1,0.888700008392334
JPM,2024,Q2,IRRBB,"On duration, in truth, we have actually added a little bit of duration over the last couple of quarters. That was more last quarter than this quarter. But, I guess, I would just caution you from looking at kind of our reported cash balances and our balance sheet and concluding that there is a lot to be done differently on the duration front . When the steepness of the curve implies, it is driven by the expectation of actually aggressive Fed tightening, it's just a timing issue . There're some interesting questions about whether fiscal dynamics might result in a structurally steeper yield curve down the road . But that feels a bit speculative to me at this point .",2,0.7923500239849091
JPM,2024,Q2,Liquidity,"QT is still a bit of a headwind, loan growth is modest and not enough to offset that . And our PE seems to have settled in roughly at its current levels, and there are reasons to believe that it might not go down that much more . On ECM, if you look at it kind of at a remove, you might ask the question, you would think it would be a booming environment for IPOs for example . Card charge-offs and delinquencies, there's just not much to see there .",9,0.779699981212616
JPM,2024,Q2,Market risk,"It's hard to imagine a scenario coming out of the whole potential range of outcomes on capital that involves an upward revision on ROTCE . The question of the deployment of the capital, one way or another, is a matter of when, not if . A lot of the activity is refinancing activity as opposed to acquisition finance . We're not really seeing early signs of cracks in C&I. We don't actually run that franchise to like a zero loss expectation . Our Card business is, of course, in no way capital constrained . The last thing that we're going to do is have the excess capital, meaning that we lean into lending that is not inside our risk appetite .",15,0.8363999724388123
JPM,2024,Q2,Model risk,"Trading assets have been up, but are low risk and therefore, quite low RWA intensity . On the loan demand front, unfortunately, I just don't have much new to say there on loan demand, meaning, loan demand remains quite muted everywhere except Card . Our Card business is, of course, in no way capital constrained. The last thing that we're going to do is have the excess capital, meaning that we lean into lending that is not inside our risk appetite . These statements are based on the current beliefs and expectations of JPMorgan Chase & Co.’s management and are subject to significant risks and uncertainties . Actual results may differ from those set forth in the forward-looking statements . JPMorgan Chase does not undertake to update any of the statements .",1,0.8873000144958496
JPM,2024,Q2,Operational risk,"It's hard to imagine a scenario coming out of the whole potential range of outcomes on capital that involves an upward revision on ROTCE . The vast majority of them involve expansions of the denominator . The question of the deployment of the capital, one way or another, is a matter of when, not if . Growing the business organically and inorganically, sustainable, sustainable dividend, and then finally buybacks . But that hierarchy does not commit us to return 100% of the capital generation in any given quarter . And as we sit here today, when you look at the relationship between the opportunity cost of not deploying the capital and the opportunities to deploy the capital outside the Firm, it's kind of hard to imagine an environment where that relationship argues more strongly for patience .",1,0.8468000292778015
JPM,2024,Q2,Risk management,"First and foremost, we're looking to deploy the capital into organic or inorganic growth . Then, the dividend, I think we're always going to want to keep it in that sort of, like sustainable and also sustainable in a stressed environment so that continues to be the way we think about that . And then, at the end of it, it's buybacks and price is a factor .",1,0.9
JPM,2024,Q2,Stress testing,"The stress capital buffer that's been released at 3.3% is a preliminary number . By rule, the Fed has to release that by August 31; it may come sooner . If you adjust that in ways that we think are reasonable, you would get a slightly higher risk capital buffer .",1,0.8686000108718872
JPM,2024,Q3,Capital adequacy,"We want to do good business. If it grows our balance sheet, we're fine. But creating those assets to help clients. That's a whole different matter because when it comes to clients, we earn credit asset spread and we usually have other stuff . If we could find ways to deploy capital, we would be happy to do that. But put us in your closest category...",3,0.5812000036239624
JPM,2024,Q3,Capital risk,"The most important thing we do is serve our clients well, build the technology and do things like that . We also don’t know what the real excess capital is yet, so, we're a little patient and wait, and it'll be fine . Cash is a very valuable asset sometimes in a turbulent world . Gerard Lamontz: We're anxiously awaiting to see the actual detail, because that's what's going to make all the difference .",6,0.7672500014305115
JPM,2024,Q3,Conduct risk,"I almost guarantee I'll be doing this for a long period of time or at least until the board kicks me out. I've always reserved the right. I don't make promises to people. I intend to be doing what I'm doing. But no, I love what I do.",2,0.4834499955177307
JPM,2024,Q3,Credit risk,"The deposit margin was unsustainably high, and that was going to have to correct one way or the other . Deposit margin was coming down as a result of the policy rate coming down . We're not going to tie ourselves exclusively to one capital provider . We will do $500 million, we will do more than $1 billion, we'll do it sole-handed or we'll have partners . Deposit margins in the normal banking business are 2% to 2.5% . People going after really hot money if that happens, it's 2% . Other than that, if you're looking at, say, what are . normal deposit margins in . the normal bank business, deposit margins are 2%.",8,0.7156499922275543
JPM,2024,Q3,Governance,"Gerard Lamontz: We need to be careful not to fall into the trap of saying that that's like progress just because the original proposal was so dramatically higher than what anyone thought was reasonable . We just want the numbers to be done right and justified. We just think they should be done with real diligence and real thought . ""I just think it's very, very important that we try to help the government do a good job,"" he says . ""That's our job. We try to grow economies and things like that,"" he adds. ""Nothing has changed in my view, my opinion, or my interest""",2,0.7858999967575073
JPM,2024,Q3,IRRBB,"The deposit margin, defined for these purposes, was unsustainably high . Either deposits were going to reprice at the product level through checking and savings, and/or we would see a ton of internal migration . And from where we sit now, we now have the margin coming down as a result of the policy . It seems that, that puts us in a pretty comfortable position .",2,0.6871000230312347
JPM,2024,Q3,Liquidity,"The consensus for this year was $91.5 billion and for next year it was $90 billion . The other thing that's worth noting is that we do expect fees and volume-related businesses to grow next year . We see the current 2025 consensus for NII ex. Markets to be currently at $87 billion, which is obviously lower than it was at the conference earlier in the quarter . The outperformance late in the quarter in investment banking fees was driven by DCM . Some of that DCM outperformance is in the sort of types of deals that are opportunistic deals that aren't in our pipeline . Jamie Dimon: I'm not actually sure they can actually do that, because you have inflationary factors out there, partially driven by QE .",12,0.820000022649765
JPM,2024,Q3,Liquidity risk,"JPMorgan Chase has leaned in heavily to CDs and gotten to the current level of CD mix, and that's been a good strategy . We think the CD mix has probably peaked. We were never going to chase sort of the hot money at the margin, Saul. We're going to do it. We can always deploy more capital .",3,0.8285999894142151
JPM,2024,Q3,Market risk,"The biggest single driver of the sequential decline is, in fact, the yield curve . The other thing that's worth noting is that we do expect fees and volume-related businesses to grow next year . We see the current 2025 consensus for NII ex Markets to be currently at $87 billion, which is obviously lower than it was at the conference earlier in the quarter . Some of that DCM outperformance is in the sort of types of deals that are opportunistic deals that aren't in our pipeline . The deposit margin, the difference between the policy rate and the weighted-average rate paid of the consumer deposits, was unsustainably high . The repo spike that we saw at the end of this quarter was an indication that maybe the market is approaching that lowest comfortable level of reserves that's been heavily speculated about . Normal deposit margins in the normal banking business, forget people going after really hot money if that happens, it's 2% to 2.5% . We're very comfortable doing very nice business for you all. And we agree. Very good returns in business in both Banking & Wealth Management .",15,0.8198000192642212
JPM,2024,Q3,Operational risk,"We have about a minimum $30 billion of excess capital, and for me, it's not burning a hole in my pocket . I look at it as you own the whole company and you can't properly deploy it now, it is perfectly reasonable to wait . Cash is a very valuable asset sometimes in a turbulent world, and Warren Buffett stockpiling cash . The only time that would be really wrong is if the stock runs way up, we've got to buy at much higher prices . I intend to be doing what I'm doing. I almost guarantee I'll be doing this for a long period of time or at least until the board kicks me out. And remember, we could always do it. We haven't lost the money. It didn't go away. It's sitting in store .",4,0.694599986076355
JPM,2024,Q3,Risk management,"Jamie Dimon: Extending duration doesn't change expected NII if you assume that the policy rate follows the forward, right? Dimon says the curve remains inverted, and extending right now is actually a headwind to short-term NII like that wouldn't be a consideration for us either way . The choice to manage and extend duration is really about balancing the volatility of NII against protecting the company from extreme scenarios on either side .",2,0.6777500212192535
JPM,2024,Q4,Capital adequacy,"G-SIB was a high print in the third quarter, but we had normal seasonality third quarter and fourth quarter . At 15.7%, and I think the actual quantum of the numerator is something like $275 billion, through pretty much any reasonable lens, it's a ton of excess, which is why we've concluded that it doesn't need to grow anymore .",2,0.6849499940872192
JPM,2024,Q4,Capital risk,"Jamie Lynch: All we want is a coherent, rational, holistically-assessed regulatory framework that allows banks to do their job, supporting the economy, that isn't reflexively anti-bank . Lynch: ""If that takes time, so be it. And that's why we keep hammering away on the importance of doing all of this holistically"" The Fed is happy to see the clear recognition on the part of the Fed that many of the things that we've been talking about for a long time in terms of transparency and volatility, and some of the non-substantive bureaucratic burden associated with the CCAR process needs improvement . CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery .",6,0.8275499939918518
JPM,2024,Q4,Credit risk,"Jamie Dimon: ""All we want is a coherent, rational, holistically-assessed regulatory framework that allows banks to do their job"" ""I could go down some pretty deep rabbit holes speculating on how they could evolve, and I just don't really think that's productive right now,"" Dimon says . Unemployment is the biggest driver of credit has been and always will be unemployment . Higher rates with higher unemployment will drive higher credit losses across the board . We're not predicting that, but you just asked where the vulnerability is, that's the vulnerability . We run extensive stress tests on the sensitivities to the portfolio .",4,0.8152999877929688
JPM,2024,Q4,Governance,"Hey, Jim. I mean, it's obviously something we're thinking about a lot. But I could go down some pretty deep rabbit holes speculating on all the different parts of the framework and how they could evolve, and I just don't really think that's productive right now . All we want is a coherent, rational, holistically-assessed regulatory framework that allows banks to do their job . Jamie Lynch: All we want is a coherent, rational, holistically-assessed regulatory framework that allows banks to do their job, supporting the economy . That isn't reflexively anti-bank, that isn't default to the answer to every question being more of everything, more capital, more liquidity, that uses data and that balances the obvious goal that we all share of a safe and sound banking system .",1,0.8833000063896179
